"state","fips","swing","republican","democratic","obama","biden","mccain","palin","repvote04","demvote04","population","battleground","visits","pblack","pseniors","pwhite","pcollege","punder24","phispanic","chgpop","medhhinc","forclosures","unemployment","gas","state.1","totalvisits"
"Colorado",8001,0.022132900142395,0,2,1,1,0,0,0.489824875011409,0.510175124988591,12.8926407312297,1,2,3.8,10,88.3,17.4,9.4770996379805,42.1,14,49.146,54.7434705009929,2.40284781963809,-28.3831728332489,"Colorado",2
"Colorado",8003,0.0245862376181869,0,0,0,0,0,0,0.513252617809903,0.486747382190096,9.64982035867162,1,0,1.8,10.3,92.1,27,16.6732103127863,45.5,3.7,32.428,10.2532235513438,-16.6044776119403,-24.5861131702496,"Colorado",0
"Colorado",8005,0.0199422261232244,0,0,0,0,0,0,0.522063073760872,0.477936926239128,13.2045238410489,1,0,10.9,10.9,79.9,37,8.87920769623315,18.8,11.2,60.555,40.5920165066265,2.20198293751441,-24.0872210953347,"Colorado",0
"Colorado",8007,0.128439874068264,0,0,0,0,0,0,0.547578225441357,0.452421774558643,9.41474952523414,1,0,0.5,19.4,95.7,29,8.94329463234057,18.8,23.9,38.811,11.1111111111111,-7.10382513661202,-24.5861131702496,"Colorado",0
"Colorado",8009,0.0183578077469685,0,0,0,0,0,0,0.776334106710342,0.223665893289658,8.3150770072941,1,0,0,20,98.2,14,8.13467682477267,8,-9.5,27.976,0,-7.69230769230769,-24.5861131702496,"Colorado",0
"Colorado",8011,0.0504797635244317,0,0,0,0,0,0,0.633768746992253,0.366231253007747,8.62622695244036,1,0,3.8,14.2,92.3,11.5,11.1370996761425,29.1,-7,29.505,0.829875518672199,-0.625,-24.5861131702496,"Colorado",0
"Colorado",8013,0.122901570641637,0,0,0,0,0,0,0.298037398029505,0.701962601970495,12.4850368273622,1,0,1,8.9,93,52.4,13.1582513193553,12.9,-2.1,59.466,11.0777150583616,-4.0233918128655,-23.6822194199243,"Colorado",0
"Colorado",8014,0.0167082261876932,0,0,0,0,0,0,0.526422764227642,0.473577235772358,10.5818763621205,1,0,1.1,8.1,91.2,52.4,8.81825290951746,12.6,3.9,66.544,17.4972660521793,-1.84049079754601,-29.282320580145,"Colorado",0
"Colorado",8015,0.0452453856743423,0,0,0,0,0,0,0.563130392497718,0.436869607502282,9.74607321944827,1,0,1.7,20.1,95.9,24.3,9.18198962753418,9.1,5.2,36.796,4.77971737323358,-1.68269230769231,-29.282320580145,"Colorado",0
"Colorado",8017,0.00298957525608445,0,0,0,0,0,0,0.823744292267014,0.176255707732986,7.56008046502183,1,0,0.5,13.5,98.3,14.2,9.77982590885817,8.4,-13.9,37.384,0,-2.4390243902439,-24.5861131702496,"Colorado",0
"Colorado",8019,0.0469050823745233,0,0,0,0,0,0,0.459746552365140,0.540253447634861,9.12652388588307,1,0,0.4,10.7,97.3,38.8,6.50212025660541,4.3,-1.3,57.482,16.7618345920059,-14.4970414201183,-35.1124289597233,"Colorado",0
"Colorado",8021,0.00780671587364484,0,0,0,0,0,0,0.495459401712454,0.504540598287546,9.07577987858049,1,0,0.3,15.5,96.9,14.4,11.5601503759399,56,4,25.617,6.09184629803187,-23.1003039513678,-24.5861131702496,"Colorado",0
"Colorado",8023,0.000968071098290724,0,0,0,0,0,0,0.322523584882712,0.677476415117288,8.12799505577195,1,0,1,17.1,93.9,12.8,8.17757009345794,57.1,-7.5,20.437,4.79302832244009,-30.7692307692308,-24.5861131702496,"Colorado",0
"Colorado",8025,0.0497419042654673,0,0,0,0,0,0,0.675656984748178,0.324343015251822,8.5952647268364,1,0,7.1,10.6,88.9,11.9,11.7570820218478,23.2,-2,27.901,1.26262626262626,4.91803278688525,-24.5861131702496,"Colorado",0
"Colorado",8027,0.0494342058428208,0,0,0,0,0,0,0.691628102672741,0.308371897327259,8.28526113406895,1,0,0.5,23,97.7,26.7,7.25388601036269,3.2,13.1,36.249,0,-8.69565217391304,-24.5861131702496,"Colorado",0
"Colorado",8029,0.0228857562183501,0,0,0,0,0,0,0.696605477853607,0.303394522146393,10.3274799652582,1,0,0.7,22.4,96.8,17.6,8.458276288109,14,9.8,33.975,8.53918877706618,-3.7712895377129,-37.0959843290891,"Colorado",0
"Colorado",8031,0.0355946791061219,1,1,1,0,1,0,0.297294613370296,0.702705386629704,13.2488691480420,1,2,10.7,11,82.6,34.5,8.37812792942319,36.2,2.3,43.228,40.7998376713213,4.96599715325004,-24.1309823677582,"Colorado",2
"Colorado",8033,0.0144877388254621,0,0,0,0,0,0,0.702146690554113,0.297853309445887,7.51261754467451,1,0,0.1,17.7,96.3,13.5,7.44389709906951,5.2,-0.7,34.244,6.22083981337481,-7.5,-24.5861131702496,"Colorado",0
"Colorado",8035,0.00404609525238975,0,0,0,0,0,0,0.670062928251447,0.329937071748553,12.4865337091386,1,0,2.3,9.8,88.7,51.9,8.14783333867915,10.2,50.6,85.963,30.3036653603538,-1.05457421566043,-25.5760952139782,"Colorado",0
